"Sample.Name","Ct","Qty","ipc.Ct","inhibited"
"neg_1_a",0,0,29.577,0
"neg_1_b",0,0,40,1
"neg_2_a",0,0,29.9285,0
"neg_2_b",0,0,29.598,0
"neg_3_a",0,0,29.952,0
"neg_3_b",0,0,30.2106,0
"8_25_1",31.3414,0.760509,29.4985,0
"10_50_5",28.819,4.29126,29.2914,0
"12_25_9",35.1151,0.0571255,30.0787,0
"12_50_10",0,0,29.9819,0
"14_50_1",36.3906,0.0238134,30.6033,0
"14_50_5",33.1063,0.226623,30.2321,0
"14_50_7",35.8416,0.0347041,30.3052,0
"14_50_8",25.6072,38.856,27.437,0
"14_50_9",0,0,29.6838,0
"14_50_10",35.1259,0.0567051,30.0643,0
"14_50_11",26.6732,18.7011,27.799,0
"14_50_12",35.072,0.0588387,29.9835,0
"14_50_13",24.9002,63.1071,27.6505,0
"14_50_14",30.7122,1.17096,29.7572,0
"16_25_1",42.5379,0,29.8243,0
"16_25_2",0,0,29.6814,0
"16_25_3",27.0449,14.4923,28.2366,0
"16_25_4",0,0,29.5589,0
"16_25_5",0,0,30.5026,0
"16_25_6",0,0,29.8363,0
"16_25_7",0,0,30.312,0
"16_25_8",0,0,40,1
"16_25_9",49.0556,0,30.5736,0
"16_25_10",31.2434,0.81338,30.0334,0
"16_25_11",29.7469,2.27065,29.6353,0
"16_25_12",28.2844,6.19215,29.2983,0
"16_25_13",0,0,29.845,0
"16_25_14",0,0,29.9907,0
"16_25_15",0,0,29.9648,0
"16_25_16",0,0,30.6312,0
"16_12.5_5",0,0,30.3875,0
"16_12.5_15",0,0,30.3521,0
"16_50_1",0,0,40,1
"16_50_2",30.8599,1.05816,29.948,0
"16_50_3",0,0,30.6264,0
"16_50_4",0,0,40,1
"16_50_5",35.1732,0.054892,30.2453,0
"16_50_6",0,0,40,1
"16_50_7",29.7681,2.23776,29.1763,0
"16_50_8",0,0,40,1
"16_50_9",34.9039,0.0660323,30.33,0
"16_50_10",0,0,40,1
"16_50_11",29.8886,2.06033,29.8226,0
"16_50_12",0,0,40,1
"16_50_13",0,0,30.4223,0
"16_50_14",0,0,40,1
"16_50_15",0,0,30.0343,0
"18_50_1",0,0,30.0506,0
"18_50_2",37.0696,0.0149469,29.5376,0
"18_50_3_a",0,0,29.4292,0
"18_50_3_b",0,0,30.409,0
"18_50_4",0,0,40,1
"18_50_5",0,0,40,1
"18_50_6",0,0,40,1
"18_50_7",0,0,30.3788,0
"18_50_8",28.2962,6.14231,29.1211,0
"18_50_9",0,0,29.5648,0
"18_50_10",30.2301,1.62997,29.8456,0
"18_50_11",0,0,30.3314,0
"18_50_12",28.8661,4.15491,29.5048,0
"18_50_13",29.9352,1.99549,28.8401,0
"18_50_14",0,0,40,1
"18_50_15",0,0,30.4743,0
"18_50_16",0,0,30.1966,0
"18_50_17",35.0382,0.0602189,29.7011,0
"18_50_18",0,0,40,1
"6_50_2_o",28.2794,6.21346,28.8933,0
"6_50_2_r",31.3429,0.759722,30.1419,0
"8_50_8_o",0,0,40,1
"8_50_8_r",0,0,30.089,0
"10_50_1_o",0,0,40,1
"10_50_1_r",0,0,30.1704,0
"10_50_4_o",0,0,29.6706,0
"10_50_4_r",0,0,30.2701,0
"blank",0,0,30.0074,0
