"Sample.Name","Ct","Qty","ipc.Ct","inhibited"
"32_50_1",25.957,79.6259,28.6674,0
"32_50_3",0,0,30.8678,0
"32_50_4",30.2843,4.21267,30.3458,0
"32_50_5",28.2341,16.9564,29.4672,0
"32_50_6",33.0976,0.623294,30.841,0
"32_50_7",29.2481,8.5159,29.6244,0
"32_50_8",32.3091,1.06488,30.1642,0
"32_50_9",36.3979,0.0662493,31.0288,0
"83",0,0,31.0841,0
"32_50_10",0,0,30.9447,0
"32_50_11",36.742,0.0524406,30.9011,0
"32_50_12",38.0059,0.0222256,31.0893,0
"32_50_13",30.7796,3.00933,30.4811,0
"32_50_14",0,0,40,1
"32_50_15",32.2066,1.14168,30.1989,0
"32_50_16",33.9049,0.360215,30.1849,0
"32_50_17",36.4511,0.0638969,30.9774,0
"84",0,0,32.092,0
"32_50_18",0,0,30.9314,0
"32_50_19",32.9201,0.703151,30.6197,0
"32_50_20",34.1538,0.304197,30.5892,0
"32_50_21",0,0,40,1
"32_50_22_A",29.0634,9.65414,29.5708,0
"32_50_22_B",0,0,40,1
"32_50_23",0,0,30.5537,0
"32_50_24",37.7229,0.0269361,29.9652,0
"85",0,0,31.0154,0
"32_50_25",30.1039,4.76207,30.3744,0
"32_50_26",32.8605,0.732241,30.8548,0
"32_50_27",30.2079,4.43733,30.276,0
"32_50_28",35.8154,0.0984004,31.004,0
"32_50_29",32.5996,0.874205,30.2491,0
"32_50_30",0,0,40,1
"32_50_31",35.5626,0.116836,30.764,0
"32_50_32",32.6333,0.854403,30.3111,0
"86",0,0,31.6049,0
"34_24_2",0,0,30.8293,0
"34_24_3",0,0,30.8468,0
"34_24_4",0,0,30.8772,0
"34_24_5",35.7627,0.101988,30.8194,0
"34_24_6",0,0,30.7852,0
"34_24_7",38.3829,0.0172039,30.7064,0
"34_24_8",0,0,30.6409,0
"34_24_9",0,0,40,1
"87",0,0,30.9919,0
"34_24_10",27.3352,31.2242,29.9337,0
"34_24_11",27.4894,28.1191,29.8135,0
"34_24_12",49.2842,0,31.4573,0
"34_24_13",0,0,30.8383,0
"34_24_15",0,0,30.969,0
"34_24_16",0,0,30.9943,0
"34_24_17",0,0,30.7551,0
"34_24_18_A",0,0,30.8852,0
"34_24_18_B",32.5261,0.918933,30.6084,0
"34_24_19",34.0816,0.319477,30.5664,0
"34_24_20",0,0,31.106,0
"88",0,0,31.0549,0
"34_24_21",49.8056,0,31.0321,0
"34_24_22",0,0,31.6363,0
"34_24_23",0,0,31.0047,0
"34_24_24",0,0,31.6036,0
"34_24_25",0,0,30.9276,0
"34_24_26",37.0105,0.0436997,31.355,0
"34_24_27",0,0,31.0703,0
"34_24_28",0,0,30.9912,0
"34_24_29",0,0,31.0586,0
"34_24_30",0,0,30.2404,0
"34_25_31",0,0,30.505,0
"89",0,0,31.1196,0
"34_24_32",0,0,30.799,0
"90",48.2891,0,30.9036,0
"91",0,0,31.2774,0
"92",0,0,31.0239,0
"93",0,0,30.8911,0
"94",0,0,31.0088,0
"95",0,0,31.0518,0
"96",0,0,31.0639,0
"97",0,0,30.9617,0
"1",0,0,30.7738,0
"2",0,0,30.3951,0
"3",0,0,34.3692,0
